gene_id,male_mean,female_mean,difference,p_value,p_adj,gene_symbol,gene_title,gene_type
6641,-0.6558185,-0.4551366,-0.20068192,0.021858602577411304,0.04033420933607642,SNTB1,syntrophin beta 1,protein-coding
6642,0.3068192,0.26140165,0.045417547,0.34136311025602695,0.4275177736252012,SNX1,sorting nexin 1,protein-coding
6643,1.102267,1.125243,-0.022975922,0.8794225961704804,0.90982894978094,SNX2,sorting nexin 2,protein-coding
6645,0.5109532,0.33565688,0.1752963,1.1657533783498768e-09,1.0903951174732384e-08,SNTB2,syntrophin beta 2,protein-coding
6646,0.016215159,0.2095709,-0.19335574,0.002034161181858665,0.004905543632620035,SOAT1,sterol O-acyltransferase 1,protein-coding
6647,0.051570494,0.289233,-0.23766251,1.6019351234734585e-06,7.861726195135667e-06,SOD1,superoxide dismutase 1,protein-coding
6648,0.2716513,0.37767673,-0.10602543,0.00015313185334640722,0.0004888165427380912,SOD2,superoxide dismutase 2,protein-coding
6649,0.039290026,0.111489914,-0.07219989,0.04127137692767687,0.07032391634615072,SOD3,superoxide dismutase 3,protein-coding
665,1.6769155,2.1848989,-0.5079833,5.3454626191666545e-11,6.4861085796345e-10,BNIP3L,BCL2 interacting protein 3 like,protein-coding
6650,-0.94016695,-0.8229439,-0.117223024,0.008814602007421006,0.018086952987264673,CAPN15,calpain 15,protein-coding
6651,-1.0062706,-0.93129754,-0.07497311,0.5888247854666535,0.6693436565452194,SON,SON DNA binding protein,protein-coding
6652,-0.7700502,-0.32003352,-0.4500167,6.703775754293814e-17,2.4743756736207826e-15,SORD,sorbitol dehydrogenase,protein-coding
6653,-0.024498023,-0.023321101,-0.0011769217,0.983291918436816,0.9872962021900201,SORL1,sortilin related receptor 1,protein-coding
6654,0.13354123,0.083782494,0.049758732,0.12787633606135723,0.1868601026768154,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,protein-coding
6655,0.41966596,0.32992634,0.08973962,0.14693608466011288,0.20994372525956773,SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2,protein-coding
6656,0.15599908,0.20647772,-0.050478637,0.9878575562488607,0.9904489562318862,SOX1,SRY-box 1,protein-coding
6657,0.51489043,0.41764078,0.09724966,0.0003368339014604049,0.0009892231180426425,SOX2,SRY-box 2,protein-coding
6658,0.6222197,0.39353314,0.22868654,1.8634121032004816e-10,2.0168695705228743e-09,SOX3,SRY-box 3,protein-coding
6659,0.90136576,0.8255028,0.075862944,0.24939893096897991,0.32862227671928007,SOX4,SRY-box 4,protein-coding
666,0.54230386,0.59086424,-0.04856038,0.14134072599065348,0.2031772936115644,BOK,BCL2 family apoptosis regulator BOK,protein-coding
6660,-0.054123554,-0.055092715,0.00096916035,0.6477981590366645,0.7218054686012292,SOX5,SRY-box 5,protein-coding
6662,0.3210331,0.3505905,-0.029557407,0.20240968934530557,0.2751468354006976,SOX9,SRY-box 9,protein-coding
6663,0.54577017,0.261075,0.28469518,4.2463712944260845e-08,2.900236305688907e-07,SOX10,SRY-box 10,protein-coding
6664,0.32456258,0.47755092,-0.15298834,0.0011325165447222893,0.0029062581106029106,SOX11,SRY-box 11,protein-coding
6665,0.530974,0.43969944,0.09127453,0.10743286066047382,0.16131940426863425,SOX15,SRY-box 15,protein-coding
6666,-0.023531497,0.267053,-0.2905845,4.171220214739049e-13,7.686517609462332e-12,SOX12,SRY-box 12,protein-coding
6667,-0.10087105,-0.46273032,0.36185926,1.9270171115365658e-16,6.4371342464167766e-15,SP1,Sp1 transcription factor,protein-coding
6668,-0.3812951,-0.41779023,0.03649512,0.4228459099960593,0.5111132835014628,SP2,Sp2 transcription factor,protein-coding
667,0.21284077,-0.010995091,0.22383586,2.011750267058683e-10,2.164123672975519e-09,DST,dystonin,protein-coding
6670,-1.0999178,-0.9370577,-0.1628601,0.00010289402424630719,0.00034236910415883263,SP3,Sp3 transcription factor,protein-coding
6671,0.1367904,0.30242556,-0.16563517,0.00011557323556143266,0.00037974063113042157,SP4,Sp4 transcription factor,protein-coding
6672,0.26067558,0.09282921,0.16784637,3.207993098633403e-07,1.834329263448636e-06,SP100,SP100 nuclear antigen,protein-coding
6674,0.02756722,-0.15344404,0.18101126,5.642540724456693e-06,2.451065611384852e-05,SPAG1,sperm associated antigen 1,protein-coding
6675,-0.12478392,-0.08837544,-0.036408477,0.4258521698766803,0.513940827238347,UAP1,UDP-N-acetylglucosamine pyrophosphorylase 1,protein-coding
6676,0.6725376,1.3350952,-0.66255754,2.5602682518177683e-10,2.7046261361104927e-09,SPAG4,sperm associated antigen 4,protein-coding
6677,0.5391349,0.48935765,0.04977727,0.04586870645820477,0.07728159262221516,SPAM1,sperm adhesion molecule 1,protein-coding
