sig_id,cell_iname,donor_sex,pert_idose,pert_itime
DOSVAL006_HCC515_24H:BRD-K81418486:10,HCC515,F,10 uM,24 h
DOSVAL003_A375_24H:BRD-K81418486:20,A375,F,20 uM,24 h
DOSVAL005_HT29_24H:BRD-K81418486:20,HT29,F,20 uM,24 h
DOSVAL003_HT29_24H:BRD-K81418486:20,HT29,F,20 uM,24 h
DOSVAL002_MCF7_24H:BRD-K81418486:5,MCF7,F,4 uM,24 h
DOSVAL002_MCF7_24H:BRD-K81418486:20,MCF7,F,20 uM,24 h
DOSVAL006_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
DOSVAL004_A549_24H:BRD-K81418486:5,A549,M,4 uM,24 h
DOSVAL004_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
DOSVAL002_A549_24H:BRD-K81418486:5,A549,M,4 uM,24 h
DOSVAL004_MCF7_24H:BRD-K81418486:20,MCF7,F,20 uM,24 h
DOSVAL006_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
DOSVAL006_A375_24H:BRD-K81418486:5,A375,F,4 uM,24 h
DOSVAL002_HCC515_24H:BRD-K81418486:20,HCC515,F,20 uM,24 h
DOSVAL004_HT29_24H:BRD-K81418486:5,HT29,F,4 uM,24 h
DOSVAL004_HT29_24H:BRD-K81418486:20,HT29,F,20 uM,24 h
DOSVAL002_HEPG2_24H:BRD-K81418486:5,HEPG2,M,4 uM,24 h
DOSVAL003_A375_24H:BRD-K81418486:5,A375,F,4 uM,24 h
DOSVAL001_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
DOSVAL006_A549_24H:BRD-K81418486:5,A549,M,4 uM,24 h
DOSVAL002_PC3_24H:BRD-K81418486:5,PC3,M,4 uM,24 h
DOSVAL003_PC3_24H:BRD-K81418486:5,PC3,M,4 uM,24 h
DOSVAL005_PC3_24H:BRD-K81418486:20,PC3,M,20 uM,24 h
DOSVAL004_A549_24H:BRD-K81418486:20,A549,M,20 uM,24 h
DOSVAL003_PC3_24H:BRD-K81418486:20,PC3,M,20 uM,24 h
DOSVAL003_MCF7_24H:BRD-K81418486:5,MCF7,F,4 uM,24 h
DOSVAL006_MCF7_24H:BRD-K81418486:5,MCF7,F,4 uM,24 h
DOSVAL005_A549_24H:BRD-K81418486:20,A549,M,20 uM,24 h
DOSVAL004_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
DOSVAL005_PC3_24H:BRD-K81418486:5,PC3,M,4 uM,24 h
DOSVAL001_A549_24H:BRD-K81418486:5,A549,M,4 uM,24 h
DOSVAL005_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
DOSVAL004_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
DOSVAL005_MCF7_24H:BRD-K81418486:20,MCF7,F,20 uM,24 h
DOSVAL006_PC3_24H:BRD-K81418486:5,PC3,M,4 uM,24 h
DOSVAL003_HCC515_24H:BRD-K81418486:20,HCC515,F,20 uM,24 h
DOSVAL002_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
DOSVAL004_HCC515_24H:BRD-K81418486:5,HCC515,F,4 uM,24 h
DOSVAL006_HCC515_24H:BRD-K81418486:5,HCC515,F,4 uM,24 h
DOSVAL004_HCC515_24H:BRD-K81418486:10,HCC515,F,10 uM,24 h
DOSVAL006_HT29_24H:BRD-K81418486:5,HT29,F,4 uM,24 h
DOSVAL003_HCC515_24H:BRD-K81418486:10,HCC515,F,10 uM,24 h
DOSVAL002_HT29_24H:BRD-K81418486:5,HT29,F,4 uM,24 h
DOSVAL003_MCF7_24H:BRD-K81418486:20,MCF7,F,20 uM,24 h
DOSVAL005_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
DOSVAL004_PC3_24H:BRD-K81418486:20,PC3,M,20 uM,24 h
DOSVAL005_A549_24H:BRD-K81418486:5,A549,M,4 uM,24 h
DOSVAL003_HEPG2_24H:BRD-K81418486:5,HEPG2,M,4 uM,24 h
DOSVAL005_A375_24H:BRD-K81418486:5,A375,F,4 uM,24 h
DOSVAL005_HCC515_24H:BRD-K81418486:20,HCC515,F,20 uM,24 h
DOSVAL001_HEPG2_24H:BRD-K81418486:5,HEPG2,M,4 uM,24 h
DOSVAL001_PC3_24H:BRD-K81418486:5,PC3,M,4 uM,24 h
DOSVAL001_A375_24H:BRD-K81418486:5,A375,F,4 uM,24 h
DOSVAL001_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
DOSVAL006_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
DOSVAL001_HCC515_24H:BRD-K81418486:5,HCC515,F,4 uM,24 h
DOSVAL001_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
DOSVAL002_A375_24H:BRD-K81418486:5,A375,F,4 uM,24 h
DOSVAL005_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
